Link_Header_Project_Name,State,Link_Header_project_Url,Scout id,Address,Timestamp,Data.Typ,Data.Etagenanzahl,Data.Wohnfläche ca.,Data.Grundstück ca.,Data.Zimmer,Data.Schlafzimmer,Data.Badezimmer,Data.Garage/ Stellplatz,Data.Kaufpreis,Data.Provision für Käufer,Data.Baujahr,Data.Modernisierung/ Sanierung,Data.Objektzustand,Data.Ausstattung,Data.Heizungsart,Data.Wesentliche Energieträger,Data.Energieausweis,Data.Energie­ausweistyp,Data.Endenergiebedarf,Data.Energie­effizienz­klasse,Data.Objektbeschreibung,Data.Bezugsfrei ab,Data.Garage/ Stellplatz-Kaufpreis,Data.Nutzfläche ca.,Data.Bauphase,Data.End­energie­verbrauch,Data.Mieteinnahmen pro Monat,Data.Energie­ver­brauchs­kennwert,Data.Internet,Data.Denkmalschutzobjekt
Heim- und Handwerker aufgepasst! Teil-Kernsaniertes 2-Parteienhaus im Zentrum von Bremen-Blumenthal,bremen,https://www.immobilienscout24.de/expose/126320158,Objekt-Nr.: FM.FBS3|Scout-ID: 126320158,"28779 Bremen, Blumenthal (Ortsteil)",2021-09-09 16:01:51.691797,Mehrfamilienhaus,,"251,62  m²",475  m²,7,4,3,2 Außenstellplätze,249.000 €,"3,57% inkl. MwSt.",1800,,,,Etagenheizung,Gas,liegt vor,Bedarfsausweis,"196,7 kWh/(m²*a)",F,"Heim- und Handwerkerwerker aufgepasst!
2-Parteienhaus im Zentrum von Bremen-Blumenthal",,,40  m²,,,,,,
NEUModernisiertes Einfamilienhaus in historischem Gewand,bremen,https://www.immobilienscout24.de/expose/129474494,Objekt-Nr.: 2978 (1/2978)|Scout-ID: 129474494,"28309 Bremen, Hemelingen (Ortsteil)",2021-09-09 16:02:04.383330,Einfamilienhaus (freistehend),2,143  m²,513  m²,7,5,2,2 Carports,395.000 €,"3,57% (inkl. 19%) MwSt. vom beurkundeten Kaufpreis",1902,"zuletzt 
        
        
          
          
            2001",Renovierungsbedürftig,Normale Qualität,Zentralheizung,Gas,,,,,"Wichtiger Hinweis: Ein Energieausweis ist beantrag und liegt in Kürze vor!

Dieses im Jahre 1902 in Massivbauweise erbaute Einfamilienhaus befindet sich seit Anbeginn im Familienbesitz der Verkäufer und wurde in den letzten Jahren Stück für Stück modernisiert. Die Immobilie ist sehr gepflegt und stellt sich heute in einem guten, soliden Zustand dar. 
 
Das Objekt bietet mit 6 Zimmern und 2 Bädern viel Raum auf zwei Etagen und mit rund 140 m² Platz zum Leben von einer vielköpfigen Familie, oder auch von zwei Generationen. Zudem bietet der üppige Anbau extrem viel Staufläche. Eine ca. 12 m² Vogel-Voliere, ein Carport für 2 PKW (hintereinander) und ein Teilkeller runden das Platzangebot ab. Zudem verfügt das Grundstück über einen von der Straße abgewandte Seite einem großen Sonnengarten 

Im Erdgeschoss, mit beindruckenden rund 3,20 m hohen Decken, befinden sich zurzeit ein Schlaf-, Wohn- und Esszimmer; Eine Wohnküche, ein Duschbad und in Arbeitszimmer. Über einen schmalen Flur erreicht man auch die Terrasse und in den Sonnengarten.

Im Obergeschoß finden Sie 4 weite Zimmer die unterschiedlich genutzt werden, sowie ein Wannenbadbad. 

Das gesamte Haus vermittelt eine historische und gemütliche Atmosphäre und bietet erhebliche Gestaltungsmöglichkeiten.",ab sofort,,,,,,,,
NEUWOHNHAUS MIT 123m² WOHNFLÄCHE,bremen,https://www.immobilienscout24.de/expose/129713576,Objekt-Nr.: 48D2140172181021|Scout-ID: 129713576,"27568 Bremerhaven, Lehe",2021-09-09 16:02:17.941414,Wohnimmobilie (sonstige),,123  m²,917  m²,5,,,,107.000 €,Nein,1957,,,,,,,,,,"Sie erreichen uns von Montag - Freitag von 08:00 - 20:00 Uhr, Samstags/Sonntags 10:00 – 18:00 Uhr unter der Telefonnummer 0421-3499635.

Einfamilienhaus, 1-geschossig, teilunterkellert (10 m² Nfl.), ausgeb. DG, 123 m² Wfl., nebst 2 Anbauten, 1-geschossig, sowie Garage mit Stallanbau, Bj. 1957 (Umbau/Erweiterung eines Bestandsgebäudes), DG-Ausbau 1961, Garage 1968 und 1976/77, Umbau und Erweiterung im EG 1976 - Raumaufteilung: EG: Windfang, Gäste-WC, 2 Schlafzimmer, Bad/WC, Hauswirtschaftsraum, Küche, Wohnzimmer, angeb. Wintergarten mit Freisitz; DG: Flur, Kammer, Duschbad, 2 Schlafzimmer


Bitte kontaktieren Sie uns bei weiteren Fragen telefonisch, von Montag - Freitag von 08:00 - 20:00 Uhr, Samstags/Sonntags 10:00 – 18:00 Uhr unter der Telefonnummer 0421-3499635.


Dieses Objekt wird beim zuständigen Amtsgericht versteigert.


Verkehrswert: 107.000,00 EUR.


Sichern Sie sich unter Umständen 30 % Nachlass auf den Verkehrswert und zahlen Sie somit für die oben genannte Immobilie nur 74.900,00 EUR. Ebenso entfallen Notarkosten und Maklercourtage.


Dies ist eine von bundesweit 25.000 interessanten Immobilien, die wir in der aktuellen, monatlichen Ausgabe unseres kostengünstigen IMMOBILIENVERSTEIGERUNGS-KATALOGES veröffentlichen. Sichern Sie sich jetzt diese Informationen um Ihre Wunschimmobilie preisgünstig zu erwerben.


Kataloginfos:
Telefonnummer 0421-3499635.",,,10  m²,,,,,,
NEUGeschmackvolles Reihenmittelhaus,bremen,https://www.immobilienscout24.de/expose/129711807,Objekt-Nr.: I-00UW3J-W-02MPB6|Scout-ID: 129711807,"28329 Bremen, Gartenstadt Vahr",2021-09-09 16:02:33.394760,Reihenmittelhaus,2,149  m²,286  m²,4,2,2,1 Garage,0 €,3.57 %,1970,,Neuwertig,,,Fernwärme,liegt vor,Bedarfsausweis,"175,4 kWh/(m²*a)",,"Das Reihenmittelhaus wurde in den 70ger Jahren als Massiv-Bau errichtet und besticht durch seine zentrale Lage sowie seine Größe mit einer Gesamtfläche von ca. 153 m² und einer Grundstücksgröße von ca. 303 m².
Eine familienfreundliche Raumaufteilung bietet ein ca. 51 m² großes Wohnzimmer mit einer großen Glasfront mit Schiebetür zur Südwest-Terrasse und in den Garten sowie eine bequeme Kaminecke und einen Essbereich mit Durchreiche zur Küche. 
Die Küche ist schlicht gehalten und beeindruckt durch den angrenzenden Kühlraum.
Eine separate Eingangstür sorgt für stressfreies einladen des Einkaufs. 
Das Obergeschoss bietet ausreichend Platz und ist mit vier Zimmern und zwei Badezimmern bestens aufgeteilt. 
Weitere Details:
-Windfang
-Garderobe
-Gäste-WC
-Rollläden zur Straße 
-Terrasse mit Markise 
-Balkon mit Markise
-               Einzelgarage auf dem Garagenhof",,,,,,,,Verfügbarkeit prüfen,
moderne Doppelhaushälfte im Neubaugebiet,bremen,https://www.immobilienscout24.de/expose/129192848,Objekt-Nr.: 07|Scout-ID: 129192848,"27572 Bremerhaven, Wulsdorf",2021-09-09 16:02:48.507513,,2,125  m²,309  m²,5,4,2,1 Garage,377.710 €,Nein,2022,,Erstbezug,Normale Qualität,Gas-Heizung,,liegt zur Besichtigung vor,,,,"Im beliebten Stadtteil Wulsdorf in Bremerhaven entstehen 2021/2022 in einem Neubaugebiet insgesamt fünf dieser außergewöhnlichen Doppelhäuser.

Durch die Platzierung der Garagen zwischen den Haushälften, gewinnt das Haus nicht zur den Charme eines Einfamilienhauses, es bietet Ihnen sogar noch einen großen Raum über der Garage, der vielseitig nutzbar ist.",nach Rücksprache,,7  m²,Haus in Planung (projektiert),,,,,
"NEUTop gepflegte, neuwertige Doppelhaushälfte in beliebter und ruhiger Wohnlage von Bremen-Arbergen",bremen,https://www.immobilienscout24.de/expose/129711008,Objekt-Nr.: 07780|Scout-ID: 129711008,"28307 Bremen, Arbergen",2021-09-09 16:03:02.907663,Doppelhaushälfte,,139  m²,321  m²,5,,,4 Stellplätze,399.000 €,"3,57 % inkl. ges. MwSt.",2003,,Gepflegt,,,Gas,liegt vor,Bedarfsausweis,"100,6 kWh/(m²*a)",D,"Ein Haus zum Verlieben. Helle, gut geschnittene 5 Zimmer-Doppelhaushälfte mit großer, überdachter Terrasse, einem herrlichen, sonnigen Garten und einem Doppelcarport. Im Erdgeschoss befindet sich eine gut ausgestattete Wohnküche mit Nolte-Einbauküche, ein Gäste-WC, ein Abstellraum und der großzügige Wohnbereich, von dem man direkt auf die Terrasse gelangt. Des Weiteren gibt es 3 Zimmer im 1.OG und ein weiteres Zimmer im ausgebauten, bis in die Spitze geöffneten Dachboden. Das Wohnzimmer sowie die Zimmer und der Flur im 1.OG sind mit Laminat ausgestattet. Das weiß geflieste Badezimmer hat sowohl Wanne als auch eine Dusche und ein Fenster. Das gesamte Haus, der Garten sowie der Außenbereich sind tip top gepflegt. Der Garten ist nahezu uneinsehbar und bietet eine weitere Terrasse zum Verweilen.",15.09.2022,,,Haus fertig gestellt,,,,,
NEUHier werden Wohnträume wahr: Top gepflegtes Reihenendhaus in bevorzugter Lage von Bremen-Marßel,bremen,https://www.immobilienscout24.de/expose/129710997,Objekt-Nr.: 07683|Scout-ID: 129710997,"28719 Bremen, Burgdamm",2021-09-09 16:03:14.290904,Reiheneckhaus,,200  m²,521  m²,7,3,2,1 Garage,529.000 €,"3,57 % inkl. ges. MwSt.",1964,"zuletzt 
        
        
          
          
            2019",Modernisiert,,,"Fernwärme, Strom",liegt vor,Bedarfsausweis,108 kWh/(m²*a),D,"Dieses sonnendurchflutete Reihenendhaus mit einer Wohn-/Nutzfläche von ca. 280 m² lässt kaum Wünsche offen. 

Sie betreten das Haus über den Windfang und gelangen von hier aus in den geräumigen hellen Flur. Bis auf die Küche sind alle Räumlichkeiten des Erdgeschosses über den Flur zu erreichen. Im Erdgeschoss befindet sich das Esszimmer mit angrenzender Küche, ein vielseitig nutzbares Zimmer mit einer Größe von 20,4m², das große Wohnzimmer mit Kamin sowie das Gäste-WC. Die Terrasse mit separaten Wintergarten erreichen Sie sowohl über das Wohnzimmer, als auch über das Esszimmer.

Im Obergeschoss erwarten Sie drei Zimmer (eins davon mit Loggia), ein Vollbad mit Fenster, ein kleines Büro, ein Abstellraum sowie ein zweites Badezimmer mit Badewanne und Fenster.

Der Keller bietet Ihnen auf ca. 80 m² die Möglichkeit, Abstellflächen zu schaffen oder lang ersehnten Hobbys nachzugehen. Hier haben Sie Platz ohne Ende. Des Weiteren befindet sich der Saunabereich mit Dusche und Ruheraum im Keller.

Abgerundet wird dieses Angebot durch den nach Süden ausgerichteten Garten mit Terrasse, dem separaten Wintergarten und die dazugehörige Garage.",,,80  m²,Haus fertig gestellt,,,,,
"NEUBremen - Osterholz | Gepflegtes, gut ausgestattetes 4-Zimmer-Reihenmittelhaus mit Sonnenterrasse und",bremen,https://www.immobilienscout24.de/expose/129709036,Objekt-Nr.: IQ277|Scout-ID: 129709036,"28307 Bremen, Osterholz (Ortsteil)",2021-09-09 16:03:25.853563,Reihenmittelhaus,3,"100,26  m²",125  m²,4,3,1,1 Außenstellplatz,345.000 €,"3,57% inkl. 19% MwSt.",1997,,Gepflegt,Normale Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,B,"Das im Jahr 1997 fertiggestellte Reihenmittelhaus in Massivbauweise bietet Ihnen mit 100,26m² Wohnfläche, die sich auf 4 Wohn- und Schlafzimmer, Küche, Vollbad, Hauswirtschaftsraum und Gäste-WC verteilen, mehr als genug Platz, damit Sie sich hier ganz nach Ihren Vorstellungen gemütlich einrichten können.

Das gepflegte Reihenmittelhaus überzeugt durch seinen gelungenen Grundriss mit gut nutzbaren Zimmergrößen, seiner angenehmen Helligkeit sowie seiner sehr soliden Ausstattung und Einrichtung, zu der unter anderem die attraktiven Fußböden, die wertige Markeneinbauküche und die sicht- und windgeschützte Sonnenterrasse zu zählen sind.

Nach Betreten des Hauses durch einen Windfang (mit Zugang zu einem Gäste-WC) stehen Sie im großzügigen Wohn- / Esszimmer (28,25m²), von dem gleich linker Hand die Küche (6,35m²) abgeht.

Die Küche ist mit einer voll ausgestatteten Einbauküche der Firma NOBILIA im modernen Landhausstil eingerichtet und bietet sogar noch Platz für einen kleinen Esstisch, z.B. für das schnelle Frühstück unter der Woche.
Die Küche wird praktischerweise durch einen Hauswirtschaftsraum mit Waschmaschinenanschluss ergänzt, der weitere Aufbewahrungsmöglichkeiten offeriert.

Das gut dimensionierte Wohn- / Esszimmer lässt Ihnen eine Vielzahl von Gestaltungs- bzw. Einrichtungsoptionen und lädt, genau wie die vorgelagerte Sonnenterrasse mit Südwest-Ausrichtung, zum Entspannen oder zum gemütlichen Beisammensein mit der Familie oder Freunden ein.

Im Obergeschoss, das Sie über eine freischwebende Holztreppe aus dem Wohn- / Esszimmer erreichen, befinden sich zwei Wohn- und Schlafzimmer, die sich idealtypisch als Elternschlaf- und Kinderzimmer anbieten, aber dank Größe (15,99m² | 13,92m²), Schnitt und Helligkeit flexibel nutzbar sind und sich jederzeit problemlos Ihrer Lebens- bzw. Bedarfssituation anpassen lassen.
Beide Zimmer teilen sich ein geräumiges Vollbad mit Eckbadewanne, separater Eckdusche und Handtuchheizung.

Das Dachgeschoss besteht aus einem einzigen Raum (13,44m²), der sicherlich nicht nur für Ihren fast erwachsenen Nachwuchs ein äußerst attraktiver Rückzugsbereich sein dürfte.

Auch für Ihr Auto ist hier gesorgt: Direkt vor dem Haus steht Ihnen ein Parkplatz zur Verfügung.",nach Vereinbarung,,,,"58,2 kWh/(m²*a)",,,,
NEUCharmantes Reihenhaus in familienfreundlicher Lage,bremen,https://www.immobilienscout24.de/expose/129706536,Objekt-Nr.: DC-BRE328|Scout-ID: 129706536,"28325 Bremen, Ellenerbrok-Schevemoor",2021-09-09 16:03:40.482521,Reihenmittelhaus,,"97,84  m²",195  m²,5,3,1,1 Tiefgaragen-Stellplatz,369.000 €,"2,98% inkl. der gesetzlichen MwSt. bezogen auf den Kaufpreis",1976,,Renovierungsbedürftig,,Zentralheizung,Gas,liegt vor,Bedarfsausweis,128 kWh/(m²*a),D,"Dieses renovierungsbedürftige Reihenmittelhaus überzeugt durch die hervorragende Lage in Bremen-Osterholz und lässt garantiert so einige Liebhaberherzen höherschlagen. 

Das im Jahre 1976 erbaute Objekt erstreckt sich über circa 203 m² Wohn-/Nutzfläche und bietet mit fünf Zimmern, verteilt auf drei Etagen, genügend Platz für die individuelle Entfaltung einer ganzen Familie. 

Im Hochparterre befindet sich eine separate Küche und der offen gestaltete Wohn-/Essbereich. Die großzügige Fensterfront sorgt für reichlich Helligkeit und schafft eine wunderbare Atmosphäre. Zudem genießen Sie den direkten Zugang zur großzügigen Terrasse. Von dieser gelangen Sie über eine Treppe in den liebevoll hergerichteten und kaum einsehbaren Garten. 

Neben dem Vollbad befinden sich im Obergeschoss drei weitere Zimmer, welche je nach Bedarf genutzt werden können. Zugleich dürfen Sie sich über eine Loggia in Westausrichtung freuen, diese lädt mit Blick ins Grüne direkt zum Träumen und Entspannen ein.

Die Raumaufteilung ist wohldurchdacht und zudem befindet sich im Dachgeschoss eine circa 51 m² Ausbaureserve, derzeit genutzt als Wellnessoase mit Sauna, die sich zum Beispiel zu einem großartigen Jugendzimmer umfunktionieren könnte. 

Ergänzend zum charmanten Objekt finden Sie im Kellergeschoss weiteren Platz zum Verstauen sowie den Garagenstellplatz vor.

Abschließend möchten wir festhalten, dass diese potentialreiche Immobilie einen unwiderstehlichen Charme und Charakter aufweist, lassen Sie sich davon während des Besichtigungstermins überzeugen und konstruieren Sie mit ein wenig Fantasie Ihr eigenes neues Zuhause.",,,"105,67  m²",,,,,,
"NEU3 Wohneinheiten, Mehrparteienhaus, Anlageobjekt in Gröpelingen",bremen,https://www.immobilienscout24.de/expose/129705529,Objekt-Nr.: 342978|Scout-ID: 129705529,"28237 Bremen, Lindenhof",2021-09-09 16:03:52.115134,Mehrfamilienhaus,,"223,55  m²",217  m²,10,8,3,,499.000 €,"4,76% vom Kaufpreis (inkl. MwSt.)",1950,"zuletzt 
        
        
          
          
            2013",,,Zentralheizung,Gas,liegt zur Besichtigung vor,,,,"Das 3-Parteienhaus wurde ca. 1950 auf einem 217 m² großen Grundstück errichtet und im Jahr 2003 und 2013 von den jetzigen Eigentümern modernisiert. So wurde zum Beispiel die Elektrik größtenteils erneuert, Die Bäder modernisiert und die Fassade gedämmt und neu verkleidet. 

 

Die Wohneinheiten teilen sich wie folgt auf:

 

UG: 34 m² (2 Zi., 2 Bäder, Gäste-WC, Küchenzeile)

EG: 65 m² (3 Zi., Duschbad, Küchenzeile)

OG: 63 m² (2 Zi., Wohnen/ Essen, Küche, Gäste-WC)

DG: 61 m² ( 3 Zi., 1 Vollbad, Gäste-WC)

 

Das OG und DG bilden eine Wohneinheit von insgesamt 124 m². Die Nutzfläche des Gebäudes beträgt ca. 58 m², so dass eine Gesamtfläche von 281,75 m² zur Verfügung steht.

 

- 3 Wohneinheiten (erweiterbar auf 4 WE)

- getrennte Strom-/ Gaszähler

- modernisierte Bäder (2 Duschbäder, 1 Wannenbad, 1 Vollbad)

- 3 Gäste-WC's

- Gasheizung aus 2013

- 2003 umfassend renoviert/ saniert, Fassandämmung

- Elektrik (außer im UG) auf aktuellem Stand (ca. 2003)

- Aktuelle Netto-KM p. a. 26.400,00 EUR (Steigerungspotential vorhanden).

 

Wir bitten um Verständnis darum, dass BESICHTIGUNGEN NUR MIT FINANZIERUNGSNACHWEIS erfolgen können und mit VOLLSTÄNDIGEN KONTAKTDATEN,inkl. TELEFONNUMMER: 

Aus Diskretionsgründen verzichtet der Eigentümer auf weitere Innenfotos.

 

 

 

 

 

 

 

Alle Angaben sind ohne Gewähr und basieren ausschließlich auf Informationen, die uns vom Auftraggeber oder Dritten zur Verfügung gestellt wurden und wurden nicht durch uns überprüft. Es wird keine Gewähr für die Vollständigkeit, Richtigkeit und Aktualität dieser Angaben übernommen. Irrtum und Zwischenverkauf sind ausdrücklich vorbehalten.",,,"58,2  m²",,,,,,
NEUZweifamilienhaus in Walle !!! Top Lage,bremen,https://www.immobilienscout24.de/expose/129701892,Objekt-Nr.: 234|Scout-ID: 129701892,"28217 Bremen, Westend",2021-09-09 16:04:16.970067,Mehrfamilienhaus,4,129  m²,144  m²,5,2,3,,365.000 €,"Käuferprovision:
5,95 % inkl. der gesetzlichen MwSt. vom beurkundeten Kaufpreis.",1946,,Renovierungsbedürftig,,Zentralheizung,"Solar, Gas",liegt vor,Bedarfsausweis,119 kWh/(m²*a),D,"Dieses Reihenhaus befindet sich in einer Anwohnerstraße im ruhigen Teil von Walle. Die Perfekte Infrastruktur von dem aufstrebenden Stadtteil ist bestechend für diese Lage.
Im Hochparterre befindet sich im Eingangsbereich die Eingänge für die Hochparterre- und der Wohnung im Obergeschoss. 
Im Hochparterre des Hauses befinden sich zwei Zimmer, ein Badezimmer und eine Küche. Von dem Eingangsbereich begibt man sich über eine Holztreppe zum Obergeschoss. Dort befindet sich ein großes Wohnzimmer mit einer Fußbodenheizung und einem Kamin, welches man in zwei Zimmer teilen könnte. Über das Wohnzimmer gelangt man auf einen Balkon mit Blick in den Garten.
Zudem befindet sich auf der Etage eine weitere Küche und ein Wannenbad. 
Das zweite Obergeschoss verfügt über zwei Schlafzimmer und einem Badezimmer. Eines der Schlafzimmer ist mit einer Treppe ausgestattet, welche in den Spitzboden führt, der viel Staufläche bietet. 
Über den Flur des zweiten Obergeschosses kann man den zweiten Balkon mit Blick in den Garten erreichen.

Abgerundet wird dieses Immobilienangebot mit einem Garten und einem Vollkeller, der sich aufgrund seiner Deckenhöhe und Aufteilung ideal zur Vergrößerung der Wohnfläche eignet. Den pflegeleicht angelegten Garten mit seiner Terrasse und seinem kleinen Schuppen erreichen sie durch den unteren Bereich des Hauses.",sofort,,59  m²,,,,,,
"NEUEinfamilienhaus in 28205 Bremen, Sauerlandstr.",bremen,https://www.immobilienscout24.de/expose/129701258,Objekt-Nr.: 771239|Scout-ID: 129701258,"28205 Bremen, Hulsberg",2021-09-09 16:04:34.509258,Einfamilienhaus (freistehend),1,58  m²,89  m²,1,,,,162.000 €,,1928,"zuletzt 
        
        
          
          
            2006",,,,,,,,,"Einfamilienhaus, Baujahr: ca. 1928, letzte Modernisierung: 2006, 1  Etage(n), Dachgeschoß ausgebaut, Wohnfläche: 58m², Keller/vollunterkellert, Reihenmittelhaus",,,,,,,,,
NEUViel Platz für Ihre Familie: Bezugsfreies RMH mit Garten und Garage in ruhiger Lage,bremen,https://www.immobilienscout24.de/expose/129699840,Scout-ID: 129699840,"28277 Bremen, Kattenturm",2021-09-09 16:04:52.216633,Reihenmittelhaus,3,151  m²,183  m²,6,5,1,Garage,319.000 €,"Die Courtage i.H.v. % 3,57 inkl. MwSt. ist bei Kaufvertragsabschluss verdient und fällig.",1971,,Gepflegt,Normale Qualität,Zentralheizung,Gas,liegt vor,Bedarfsausweis,202 kWh/(m²*a),G,"+++ Link zum Rundgang: https://app.immoviewer.com/portal/tour/2401652?accessKey=617d +++

Erleben Sie in diesem großzügigen Einfamilienhaus in Obervieland ein behagliches Wohngefühl. In ruhiger und naturnaher Wohnlage bietet das Eigenheim auf etwa 151 m² Wohnfläche viel Platz und beste Wohnbedingungen für Familien. Lassen Sie sich von dem gepflegten Zustand des Gebäudes, einem kleinen Gartengrundstück und 2 sonnigen Balkonen überzeugen. Das Kellergeschoss ist zusätzlich ausgebaut und bietet weiteren Wohnraum durch ein Schlafzimmer.

Freundliche Räumlichkeiten, ein lichtdurchflutetes Wohnzimmer mit Essbereich und ein modernes Tageslichtbad mit Walk-In-Dusche bilden die Vorzüge der attraktiven Immobilie, die die perfekte Kombination aus Charme und Gemütlichkeit bietet und obendrein genügend Raum für individuelle Wohnideen lässt. So kann bspw. das Gäste-WC im 2. Obergeschoss durch eine Dusche ergänzt und so zu einem weiteren Badezimmer ausgebaut werden. Im idyllischen Außenbereich mit überdachter Terrasse besteht zudem die attraktive Möglichkeit, eine eigene kleine Gartenoase zu gestalten.

Im Haus erwarten Sie insgesamt 6 Zimmer verteilt auf 3 Wohnetagen sowie ein ausgebauter Keller mit zusätzlichem Wohnraum. Weiteren Komfort bieten 2 Abstellräume und ein großer Hauswirtschaftsraum. Ihren Pkw können Sie wettergeschützt in der eigenen Garage unterbringen.

Objektnr: 1033844",ab sofort,,,Haus fertig gestellt,,,,,
NEUAttraktives Reihenendhaus mit 3 Wohnungen in Bremen Kattenesch,bremen,https://www.immobilienscout24.de/expose/129591698,Objekt-Nr.: 1894|Scout-ID: 129591698,"28277 Bremen / Kattenturm, Kattenesch",2021-09-09 16:05:04.948905,Reiheneckhaus,3,239  m²,501  m²,10,5,3,,469.000 €,"2,975% bei Kaufvertragsabschluss vom Käufer zu zahlen.",1963,,Modernisiert,Gehobene Qualität,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,,"Dieses gepflegte, hier angebotene Reiheneckhaus eignet sich ideal für Familien, die sich ein Haus mit Potenzial, viel Platz und Behaglichkeit sowie einen 
schönen Garten wünschen. Die 3 Wohnungen können schnell und ohne großen Aufwand zusammengelegt werden. Durch die aktuelle Aufteilung ist das Objekt aber auch sehr interessant für Kapitalanleger, die sich ihre zukünftigen Mieter selbst aussuchen wollen.
Wohnung 1: EG mit 83,44 m2 (frei und renoviert), 4 Zimmer
Wohnung 2: DG mit 72,19 m2 (frei und renoviert), 3,5 Zimmer
Wohnung 3: Gartengeschoss mit 83,42 m2 ( 2,5 Zimmer) aktuell noch vermietet
Neben der reinen Wohnfläche von über ca. 239 m2 verfügt das Haus über ca. 25 m2 Nebenflächen wie Keller, Dachgeschoss und Gartenhaus, somit
insgesamt über ca. 265 m2. 
ERDGESCHOSS: Hier begeistern u.a. der Kamin im Wohnzimmer und der neue, beheizte Wintergarten nebst eingebautem und automatisch gesteuertem
Sonnenschutz. Dazu verfügt die Etage über eine offene, gut ausgestattete Küche mit angrenzendem Esszimmer, ein Schlafzimmer und ein Duschbad
sowie Kellerräume.
DACHGESCHOSS: In dieser 3,5-Zimmer-Wohnung lässt es sich ebenso trefflich wohnen. Eine hübsche Küche, ein Vollbad sowie ein Dachstudio und
ein Dachboden runden hier das Platzangebot neben den 3 Wohn- bzw. Schlafzimmern ab.
GARTENGESCHOSS: Die Wohnung im Gartengeschoss verfügt über 2,5 Zimmer mit einer eigenen Südwest-Terrasse. Sie wurde – ebenso wie alle anderen Wohnungen in den vergangenen Jahren – immer wieder auf den neuesten Stand gebracht.
Die Wohnungen im EG und OG verfügen jeweils über einen separaten Zugang (moderner Sicherheitsstandard) und neue Türen. Die Wohnung im Gartengeschoss hat einen eigenen Eingang. Die Fenster des Hauses wurden in den letzten Jahren in allen Etagen erneuert und verfügen über Jalousien.
Die Heizung stammt aus dem Jahr 2018. Ebenso wurden die Elektrik und das Dach des Hauses erneuert.",nach Vereinbarung,,25  m²,,,,"121,9 kWh/(m²*a)",,
NEUVORANKÜNDIGUNG! Neubau in der Gartenstadt Werdersee zu verkaufen,bremen,https://www.immobilienscout24.de/expose/129529306,Objekt-Nr.: Kensington_KBR_248|Scout-ID: 129529306,"28201 Bremen, Huckelriede",2021-09-09 16:05:23.336141,,2,136  m²,185  m²,4,3,1,1 Carport,595.000 €,"3,57 % inkl. MwSt.",2021,,Neuwertig,,,,,,,,"VORANKÜNDIGUNG:

Neues Reihenmittelhaus HAAG in der Gartenstadt Werdersee mit großer Dachterasse nah am Deich zu verkaufen. 
Fotos, Grundrisse und weitere Ankündigungen folgen bald!",,,,,,,,,
NEUBremen - Lehesterdeich • Traumhaft saniertes Einfamilienhaus mit zwei Garagen in beliebter Lage,bremen,https://www.immobilienscout24.de/expose/129418421,Objekt-Nr.: BI-241|Scout-ID: 129418421,"28357 Bremen, Lehesterdeich",2021-09-09 16:05:36.750092,Einfamilienhaus (freistehend),2,"171,91  m²",380  m²,7,5,3,2 Garagen,785.000 €,Nein,1953,,Saniert,,Zentralheizung,Gas,liegt vor,Bedarfsausweis,"85,4 kWh/(m²*a)",C,"Dieses großzügige, hochwertig sanierte Haus im beliebten Ortsteil Lehesterdeich bietet Ihnen die Möglichkeit ein wundervolles Eigenheim in toller Lage für sich und Ihre Familie zu erwerben.

Alle Sanierungs- und Modernisierungsarbeiten am Haus wurden 2021 durchgeführt, sodass Ihnen nur noch der Einzug und das Einrichten offen bleibt.

Die zwei Garagen links und rechts am Haus bieten nicht nur den Pkw einen sicheren Abstellplatz, sondern können auch als Werkraum oder als zusätzlicher Stauraum genutzt werden.

Im Erdgeschoss erwartet Sie eine tolle, offene Raumaufteilung mit hübschem Echtholzparkett, der die weiß gestalteten Wände optimal ergänzt. 

Neben zwei geräumigen Zimmern befindet sich hier auch noch ein offener Wohn- & Essbereich, der über zwei Zugänge zur kürzlich gepflasterten Terrasse verfügt.

Diese ist großzügig gestaltet worden und lädt bei gutem Wetter dazu ein, mit Familie und Freunden das Beisammensein zu genießen.
Ein dritter Zugang zur Terrasse befindet sich in einem der weiteren Zimmer.

Ergänzt wird das EG durch das schick renovierte Badezimmer und das Gäste-WC. Beide sind modern gestaltet und neben den schönen Fliesen auch mit Fenstern ausgestattet.

Das Badezimmer ist zudem mit einer wunderschönen freistehenden Badewanne sowie einer ebenerdigen Dusche mit Glasabtrennung, wandhängendem WC und einem Waschbecken mit ebenfalls wandhängendem Unterschrank ausgestattet.

Das Obergeschoss verfügt über zwei Schlafräume, ein Wohnzimmer, eine mögliche Küche und ein modern designtes Badezimmer mit besonders großer Dusche. Zusätzlich gibt es einen kleinen Abstellraum. Alle Räume sind lichtdurchflutet und einladend.

Eine Besonderheit bietet das größere der beiden Schlafzimmer, welches über eine Treppe einen Zugang zum ausgebauten Spitzboden bietet. 

Dieser Raum lässt sich vielseitig nutzen und ist mit neuen Velux Fenster versehen worden, die für viel Licht sorgen.
Der hübsche Teppichboden zaubert einen Wohlfühlfaktor und lädt zum Spielen und Verweilen ein.",nach Absprache,,"92,14  m²",,,,,,
